"parameter","value","unit","type","source","url","use","caveat"
"jrc_gypsum_climate_saving_vs_landfill","85","kg CO2-eq per t gypsum fraction","Published JRC 2020 scenario result","JRC135470 p.51 / Figure 8","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","External benchmark only","Not this study result; based on JRC assumptions and reported uncertainty"
"jrc_gypsum_climate_saving_sd","19","kg CO2-eq per t gypsum fraction","Published JRC scenario uncertainty","Caro et al. 2024 and JRC135470","https://doi.org/10.1016/j.scitotenv.2023.168295","External benchmark only","Do not treat as contamination uncertainty"
"jrc_cement_substitutability","0.99","kg natural gypsum substituted per kg recycled gypsum","JRC scenario assumption","JRC135470 p.30","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","Alternative-use scenario","Subject to technical and market constraints"
"jrc_sewage_sludge_substitutability","0.9","kg natural gypsum substituted per kg recycled gypsum","JRC scenario assumption","JRC135470 p.30","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","Alternative-use scenario","Subject to dosage and product constraints"
"jrc_agriculture_substitutability","0.37","kg agricultural lime substituted per kg recycled gypsum","JRC scenario assumption","JRC135470 p.30","https://publications.jrc.ec.europa.eu/repository/handle/JRC135470","Alternative-use scenario","Not a closed-loop plasterboard substitution factor"
"weimann_presorting_magnetic_reject_min","0.02","kg/kg post-consumer input","Published Germany industrial range lower bound","Weimann et al. 2021, Minerals 11, 101, section 2.1","https://www.mdpi.com/2075-163X/11/2/101","External process-range benchmark","Selected German facility; not EU27 distribution; source data partly confidential"
"weimann_presorting_magnetic_reject_max","0.03","kg/kg post-consumer input","Published Germany industrial range upper bound","Weimann et al. 2021, Minerals 11, 101, section 2.1","https://www.mdpi.com/2075-163X/11/2/101","External process-range benchmark","Selected German facility; not EU27 distribution; source data partly confidential"
"weimann_paper_cardboard_reject_min","0.1","kg/kg post-consumer input","Published Germany industrial range lower bound","Weimann et al. 2021, Minerals 11, 101, section 2.1","https://www.mdpi.com/2075-163X/11/2/101","External process-range benchmark","Paper/cardboard output range, not contamination prevalence in all EU feeds"
"weimann_paper_cardboard_reject_max","0.17","kg/kg post-consumer input","Published Germany industrial range upper bound","Weimann et al. 2021, Minerals 11, 101, section 2.1","https://www.mdpi.com/2075-163X/11/2/101","External process-range benchmark","Paper/cardboard output range, not contamination prevalence in all EU feeds"
"weimann_recycled_gypsum_output_min","0.8","kg/kg post-consumer input","Published Germany industrial range lower bound","Weimann et al. 2021, Minerals 11, 101, section 2.1","https://www.mdpi.com/2075-163X/11/2/101","External process-range benchmark","Selected German facility; output definition is study-specific"
"weimann_recycled_gypsum_output_max","0.88","kg/kg post-consumer input","Published Germany industrial range upper bound","Weimann et al. 2021, Minerals 11, 101, section 2.1","https://www.mdpi.com/2075-163X/11/2/101","External process-range benchmark","Selected German facility; output definition is study-specific"
"weimann_recycled_gypsum_moisture_min","0.03","kg/kg","Published Germany industrial range lower bound","Weimann et al. 2021, Minerals 11, 101, section 2.3","https://www.mdpi.com/2075-163X/11/2/101","Drying sensitivity benchmark","Selected German facility; not EU27 batch distribution"
"weimann_recycled_gypsum_moisture_max","0.05","kg/kg","Published Germany industrial range upper bound","Weimann et al. 2021, Minerals 11, 101, section 2.3","https://www.mdpi.com/2075-163X/11/2/101","Drying sensitivity benchmark","Selected German facility; not EU27 batch distribution"
"pedreno_recycling_crushing_electricity","32.61","kWh/t gypsum","Published Spanish plant inventory","Pedre帽o-Rojas et al. 2020, JCP 253, 120056, Table 2","https://idus.us.es/bitstream/handle/11441/102567/MANUSCRIPT.pdf?sequence=1","Open process inventory benchmark","Pre-consumer plant waste; transport to plant ignored; not post-consumer EU27 average"
"pedreno_recycling_milling_electricity","10.48","kWh/t gypsum","Published Spanish plant inventory","Pedre帽o-Rojas et al. 2020, JCP 253, 120056, Table 2","https://idus.us.es/bitstream/handle/11441/102567/MANUSCRIPT.pdf?sequence=1","Open process inventory benchmark","Pre-consumer plant waste; transport to plant ignored; not post-consumer EU27 average"
"pedreno_recycling_packaging_electricity","11.23","kWh/t gypsum","Published Spanish plant inventory","Pedre帽o-Rojas et al. 2020, JCP 253, 120056, Table 2","https://idus.us.es/bitstream/handle/11441/102567/MANUSCRIPT.pdf?sequence=1","Open process inventory benchmark","Pre-consumer plant waste; transport to plant ignored; not post-consumer EU27 average"
"pedreno_recycling_internal_transport_electricity","6.03","kWh/t gypsum","Published Spanish plant inventory","Pedre帽o-Rojas et al. 2020, JCP 253, 120056, Table 2","https://idus.us.es/bitstream/handle/11441/102567/MANUSCRIPT.pdf?sequence=1","Open process inventory benchmark","Pre-consumer plant waste; transport to plant ignored; not post-consumer EU27 average"
"pedreno_recycling_separation_diesel","0.9","L/t gypsum","Published Spanish plant inventory","Pedre帽o-Rojas et al. 2020, JCP 253, 120056, Table 2","https://idus.us.es/bitstream/handle/11441/102567/MANUSCRIPT.pdf?sequence=1","Open process inventory benchmark","Pre-consumer plant waste; transport to plant ignored; not post-consumer EU27 average"
"pedreno_recycling_calcination_natural_gas","13.59","m3/t gypsum","Published Spanish plant inventory","Pedre帽o-Rojas et al. 2020, JCP 253, 120056, Table 2","https://idus.us.es/bitstream/handle/11441/102567/MANUSCRIPT.pdf?sequence=1","Open process inventory benchmark","Pre-consumer plant waste; transport to plant ignored; not post-consumer EU27 average"
